No.;Nama;Base Attack;Base Defense;Bentuk Sebelumnya;Evolusi ke;Total Evolusi;Tipe;Kuat Terhadap;RIceistan Terhadap;Legendaris;Deskripsi;Efek;M/G;Biaya;Cek Evolusi;Bonus;Attack;Deffense;id;check MG;chek error
891;Kubfu;90;60;-;1;2;Fighting;Dark, Ice, Normal;Rock, Dark, Bug;Tidak;Kubfu adalah petarung yang gigih, berlatih keras untuk menguasai teknik bertarung yang sangat kuat.;;;2;-;-3;560;410;891;;
010;Caterpie;30;35;-;1;3;Bug;Psychic, Grass, Dark;Ground, Bug, Grass;Tidak;Caterpie dikenal karena kemampuannya untuk melepaskan benang sutera untuk melindungi diri dan melarikan diri dari musuh.;;;1;-;-4;210;250;010;;
066;Machop;80;50;-;1;3;Fighting;Normal, Rock, Ice;Dark, Bug, Rock;Tidak;Machop memiliki kekuatan fisik yang luar biasa, meskipun ukurannya kecil, ia sangat lincah dan ahli dalam pertarungan jarak dekat.;;;1;-;-4;280;180;066;;
821;Rookidee;43;55;-;1;3;Flying;Grass, Bug, Dark;Steel, Flying, Dark;Tidak;Rookidee adalah burung kecil yang gesit dan pemberani, sering melawan lawan yang lebih besar tanpa ragu.;;;1;-;-4;200;260;821;;
856;Hatenna;40;45;-;1;3;Psychic;Dark, Psychic, Dragon;Dark, Psychic, Dragon;Tidak;Hatenna memiliki kemampuan untuk merasakan emosi manusia, terutama yang sedang tenang atau damai.;;;1;-;-4;220;240;856;;
859;Impidimp;45;30;-;1;3;Dark, Fairy;Psychic, Dragon, Dark;Dark, Psychic, Ghost;Tidak;Impidimp suka mencuri energi lawan dengan menyerang mereka secara diam-diam, sering menipu musuh dengan perilakunya yang licik.;;;1;-;-3;280;190;859;;
837;Rolycoly;40;60;-;1;2;Rock;Fire, Electric, Flying;Steel, Ice, Ground;Tidak;Rolycoly dapat bergerak cepat di medan berbatu dan berfungsi seperti kendaraan roda satu yang membakar batubara.;;;2;-;-3;380;590;837;;
181_1;Mega Ampharos;95;105;Ampharos;Mega;3;Electric, Dragon;Water, Steel, Flying;Electric, Steel, Fire;Tidak;Mega Ampharos berubah menjadi tipe Naga, dengan kekuatan listrik dan serangan kuat dari rambut panjang yang penuh energi.;;M/G;7;Ampharos;4;1800;1740;181_1;181;v
282_1;Mega Gardevoir;85;65;Gardevoir;Mega;3;Psychic, Fairy;Dark, Dragon, Fighting;Psychic, Dark, Dragon;Tidak;Mega Gardevoir menggabungkan kekuatan psikisnya dengan energi peri, mampu melindungi dan menyerang dengan kekuatan besar.;;M/G;7;Gardevoir;4;2140;1400;282_1;282;v
376_1;Mega Metagross;145;150;Metagross;Mega;3;Steel, Psychic;Rock, Steel, Psychic;Psychic, Steel, Rock;Tidak;Mega Metagross adalah mesin tempur dengan kecerdasan super tinggi dan kemampuan serangan fisik serta psikis yang sangat kuat.;;M/G;7;Metagross;4;1860;1680;376_1;376;v
380_1;Mega Latias;140;120;Latias;Mega;2;Dragon, Psychic;Fire, Ground, Dragon;Dragon, Psychic, Dark;Ya;Mega Latias adalah bentuk evolusi yang lebih cepat dan lebih kuat dari Latias, dengan kemampuan terbang dan serangan psikis.;;M/G;8;Latias;5;2370;1680;380_1;380;v
381_1;Mega Latios;160;100;Latios;Mega;2;Dragon, Psychic;Fire, Ground, Dragon;Dragon, Psychic, Dark;Ya;Mega Latios memiliki kekuatan serangan yang jauh lebih tinggi dan kecepatan yang mampu menandingi musuh dengan mudah.;;M/G;8;Latios;5;2710;1340;381_1;381;v
448_1;Mega Lucario;145;88;Lucario;Mega;2;Fighting, Steel;Ice, Rock, Normal;Steel, Dark, Bug;Tidak;Mega Lucario memperkuat kecepatan dan kekuatan fisik, serta energinya, sehingga serangannya lebih cepat dan lebih mematikan.;;M/G;6;Lucario;3;1980;1050;448_1;448;v
065_1;Mega Alakazam;120;65;Alakazam;Mega;3;Psychic;Dark, Dragon, Fighting;Psychic, Dark, Ghost;Tidak;Mega Alakazam memiliki kecerdasan luar biasa dan dapat melakukan serangan psikis dengan ketepatan yang sempurna.;;M/G;7;Alakazam;3;2410;1120;065_1;065;v
179;Mareep;40;40;-;1;3;Electric;Water, Flying, Steel;Electric, Steel;Tidak;Mareep adalah Pokemon listrik dengan bulu tebal yang dapat menyimpan dan melepaskan energi listrik.;;;1;-;-3;240;230;179;;
180;Flaaffy;55;55;Mareep;2;3;Electric;Water, Flying, Steel;Electric, Steel;Tidak;Flaaffy menggunakan bulunya yang telah menipis untuk lebih mudah mengalirkan listrik.;;;3;Mareep;-1;740;750;180;;
181;Ampharos;75;85;Flaaffy;3;3;Electric;Water, Steel, Flying;Electric, Steel;Tidak;Ampharos dapat menghasilkan sinar cahaya dari ekornya, sering digunakan sebagai mercusuar di perairan.;;;5;Flaaffy;1;1200;1310;181;;
374;Beldum;45;40;-;1;3;Steel, Psychic;Rock, Steel, Psychic;Steel, Dragon, Psychic;Tidak;Beldum adalah Pokemon baja yang menggunakan medan magnet untuk bergerak dan berkomunikasi dengan kelompoknya.;;;1;-;-3;250;220;374;;
375;Metang;75;75;Beldum;2;3;Steel, Psychic;Rock, Steel, Psychic;Steel, Dragon, Psychic;Tidak;Metang lebih kuat dan cepat dari Beldum, menggunakan lengan besinya untuk menghancurkan lawan.;;;3;Beldum;-1;740;750;375;;
376;Metagross;135;130;Metang;3;3;Steel, Psychic;Rock, Steel, Psychic;Steel, Dragon, Psychic;Tidak;Metagross adalah mesin tempur dengan kecerdasan tinggi, menggunakan empat kaki besi untuk menghancurkan musuh.;;;5;Metang;1;1300;1210;376;;
380;Latias;80;90;-;1;2;Dragon, Psychic;Fire, Ground, Dragon;Dragon, Psychic, Dark;Ya;Latias adalah Pokemon legendaris yang dikenal karena kecepatannya dan kemampuan untuk menyamar sebagai manusia.;;;6;-;2;1470;1550;380;;
381;Latios;90;80;-;1;2;Dragon, Psychic;Fire, Ground, Dragon;Dragon, Psychic, Dark;Ya;Latios adalah Pokemon legendaris dengan kecerdasan tinggi, mampu berkomunikasi secara telepati dengan manusia.;;;6;-;2;1650;1370;381;;
063;Abra;20;15;-;1;3;Psychic;Dark, Dragon, Fighting;Psychic, Dark, Dragon;Tidak;Abra dikenal karena selalu tertidur, tetapi dapat teleportasi saat dalam bahaya.;;;1;-;-4;260;200;063;;
064;Kadabra;35;30;Abra;2;3;Psychic;Dark, Dragon, Fighting;Psychic, Dark, Dragon;Tidak;Kadabra memiliki kekuatan psikis yang lebih kuat dan lebih terampil dalam serangan mental dibanding Abra.;;;3;Abra;-2;780;700;064;;
065;Alakazam;50;45;Kadabra;3;3;Psychic;Dark, Dragon, Fighting;Psychic, Dark, Dragon;Tidak;Alakazam memiliki kecerdasan luar biasa dan dapat menggunakan kekuatan psikisnya untuk mengendalikan objek besar.;;;5;Kadabra;0;1320;1180;065;;
012_1;Gigantamax Butterfree;45;50;Butterfree;Gigantamax;3;Bug, Flying;Grass, Dark, Psychic;Grass, Bug;Tidak;Gigantamax Butterfree melepaskan racun mematikan dari sayap besarnya yang bisa melumpuhkan lawan.;;M/G;7;Butterfree;5;1820;1730;012_1;012;v
052_1;Gigantamax Meowth;45;35;Meowth;Gigantamax;2;Normal;Ghost, Dark;Ghost, Normal, Dark;Tidak;Gigantamax Meowth menjadi sangat besar dengan tubuh yang memanjang dan mampu menyerang dari kejauhan.;;M/G;4;Meowth;1;1150;860;052_1;052;v
068_1;Gigantamax Machamp;130;80;Machamp;Gigantamax;3;Fighting;Rock, Dark, Normal;Ice, Rock, Dark;Tidak;Gigantamax Machamp meningkatkan otot-ototnya sehingga mampu menghancurkan apapun yang ada di depannya.;;M/G;7;Machamp;3;2300;1230;068_1;068;v
131_1;Gigantamax Lapras;85;90;Lapras;Gigantamax;1;Water, Ice;Fire, Rock, Dragon;Water, Ice, Ground;Tidak;Gigantamax Lapras menggunakan gelombang suara dari badannya untuk menghasilkan melodi yang melindungi timnya.;;M/G;6;Lapras;3;1540;1490;131_1;131;v
834_1;Gigantamax Drednaw;115;90;Drednaw;Gigantamax;2;Water, Rock;Fire, Flying, Ice;Water, Rock, Ground;Tidak;Gigantamax Drednaw memiliki rahang yang lebih kuat dan mampu menghancurkan apapun, termasuk baja terkuat.;;M/G;6;Drednaw;3;1780;1250;834_1;834;v
869_1;Gigantamax Alcremie;60;75;Alcremie;Gigantamax;2;Fairy;Dragon, Dark, Fighting;Bug, Dark, Dragon;Tidak;Gigantamax Alcremie melepaskan krim manis yang sangat melimpah, menarik banyak lawan dalam pertempuran.;;M/G;6;Alcremie;2;1390;1630;869_1;869;v
844_1;Gigantamax Sandaconda;107;125;Sandaconda;Gigantamax;2;Ground;Fire, Electric, Poison;Electric, Rock, Poison;Tidak;Gigantamax Sandaconda melepaskan pasir dari tubuhnya yang sangat besar, membuat badai pasir yang dahsyat.;;M/G;6;Sandaconda;2;1440;1580;844_1;844;v
839_1;Gigantamax Coalossal;110;120;Coalossal;Gigantamax;3;Rock, Fire;Bug, Fire, Ice, Flying;Fire, Bug, Ice, Fairy;Tidak;Gigantamax Coalossal melepaskan panas dan energi dari tubuhnya yang besar, bisa melelehkan logam dan batu dengan mudah.;;M/G;6;Coalossal;1;1460;1550;839_1;839;v
013;Weedle;35;30;-;1;3;Bug, Poison;Grass, Fairy, Psychic;Bug, Poison, Fighting;Tidak;Weedle adalah larva beracun yang sering ditemukan di hutan, menggunakan tanduknya untuk menyerang lawan.;;;1;-;-3;250;220;013;;
014;Kakuna;25;50;Weedle;2;3;Bug, Poison;Grass, Fairy, Psychic;Bug, Poison, Fighting;Tidak;Kakuna hampir tidak bergerak saat berevolusi, tetapi dapat melindungi dirinya dengan kulit kerasnya.;;;3;Weedle;-1;490;1000;014;;
015;Beedrill;90;40;Kakuna;3;3;Bug, Poison;Grass, Fairy, Psychic;Bug, Poison, Fighting;Tidak;Beedrill adalah Pokemon lebah yang sangat agresif dan sering menyerang dengan sengat racunnya.;;;5;Kakuna;1;1770;740;015;;
015_1;Mega Beedrill;150;40;Beedrill;Mega;3;Bug, Poison;Grass, Fairy, Psychic;Bug, Poison, Fighting;Tidak;Mega Beedrill menjadi lebih cepat dan kuat, dengan racun yang sangat mematikan.;;M/G;7;Beedrill;4;2980;560;015_1;015;v
016;Pidgey;45;40;-;1;3;Normal, Flying;Bug, Grass, Fighting;Bug, Grass, Fighting;Tidak;Pidgey adalah burung kecil yang sering ditemukan di daerah padang rumput, terkenal karena sifatnya yang tenang.;;;1;-;-3;250;220;016;;
017;Pidgeotto;60;55;Pidgey;2;3;Normal, Flying;Bug, Grass, Fighting;Bug, Grass, Fighting;Tidak;Pidgeotto lebih agresif dari Pidgey dan sering mempertahankan wilayahnya dari penyusup.;;;3;Pidgey;-1;770;720;017;;
018;Pidgeot;80;75;Pidgeotto;3;3;Normal, Flying;Bug, Grass, Fighting;Bug, Grass, Fighting;Tidak;Pidgeot memiliki kemampuan terbang yang luar biasa dan dapat terbang dengan kecepatan sangat tinggi.;;;5;Pidgeotto;1;1320;1190;018;;
018_1;Mega Pidgeot;135;80;Pidgeot;Mega;3;Normal, Flying;Bug, Grass, Fighting;Bug, Grass, Fighting;Tidak;Mega Pidgeot mampu terbang dengan kecepatan yang luar biasa, dengan kekuatan angin yang sangat kuat.;;M/G;7;Pidgeot;4;2370;1170;018_1;018;v
823_1;Gigantamax Corviknight;87;105;Corviknight;Gigantamax;3;Flying, Steel;Bug, Grass, Fairy;Bug, Grass, Fairy;Tidak;Gigantamax Corviknight menggunakan bulu-bulu baja yang besar untuk memukul lawan dari udara.;;M/G;7;Corviknight;4;1710;1830;823_1;823;v
840;Applin;40;40;-;1;3;Grass, Dragon;Water, Ground, Rock;Grass, Water, Electric;Tidak;Applin adalah apel yang dihuni oleh dua ekor naga, mereka sangat pandai bersembunyi dari musuh.;;;1;-;-3;240;230;840;;
841;Flapple;85;70;Applin;2;3;Grass, Dragon;Water, Ground, Rock;Grass, Water, Electric;Tidak;Flapple terbang menggunakan apel besar sebagai pelindung dan menyerang musuh dengan cairan manis yang lengket.;;;3;Applin;-1;810;680;841;;
841_1;Gigantamax Flapple;85;70;Flapple;Gigantamax;3;Grass, Dragon;Water, Ground, Rock;Grass, Water, Electric;Tidak;Gigantamax Flapple melepaskan kabut asam manis yang membuat lawan kehilangan tenaga dan fokus.;;M/G;5;Flapple;2;1430;1090;841_1;841;v
842;Appletun;85;110;Applin;2;3;Grass, Dragon;Water, Ground, Rock;Grass, Water, Electric;Tidak;Appletun memiliki kulit apel tebal yang melindunginya dari serangan, dan mampu menyemburkan api manis yang panas.;;;3;Applin;-1;640;850;842;;
842_1;Gigantamax Appletun;85;110;Appletun;Gigantamax;3;Grass, Dragon;Water, Ground, Rock;Grass, Water, Electric;Tidak;Gigantamax Appletun menyemburkan cairan apel yang sangat manis dan berbahaya dari punggungnya.;;M/G;5;Appletun;2;1130;1390;842_1;842;v
428_1;Mega Lopunny;136;94;Lopunny;Mega;2;Normal, Fighting;Dark, Steel, Rock;Dark, Steel, Rock;Tidak;Mega Lopunny memiliki kekuatan serangan fisik luar biasa dan sangat gesit dalam pertempuran.;;M/G;6;Lopunny;3;1880;1150;428_1;428;v
307;Meditite;40;55;-;1;2;Fighting, Psychic;Normal, Fighting, Rock;Fighting, Normal, Psychic;Tidak;Meditite berlatih meditasi untuk meningkatkan kekuatan serangannya dan mencapai kesempurnaan fisik.;;;2;-;-2;400;580;307;;
308;Medicham;60;75;Meditite;2;2;Fighting, Psychic;Normal, Fighting, Rock;Fighting, Normal, Psychic;Tidak;Medicham menggunakan kekuatan mental dan fisik untuk menyerang dengan presisi tinggi.;;;4;Meditite;0;890;1110;308;;
308_1;Mega Medicham;100;85;Medicham;Mega;2;Fighting, Psychic;Normal, Fighting, Rock;Fighting, Normal, Psychic;Tidak;Mega Medicham mencapai potensi penuh dengan meditasi yang membuat kekuatan fisiknya luar biasa.;;M/G;6;Medicham;3;1720;1310;308_1;308;v
098;Krabby;105;90;-;1;2;Water;Fire, Rock, Ground;Water, Ice, Fire;Tidak;Krabby menggunakan capit besarnya untuk menangkap mangsa dan menyerang musuhnya di pantai.;;;2;-;-3;510;460;098;;
099;Kingler;130;115;Krabby;2;2;Water;Fire, Rock, Ground;Water, Ice, Fire;Tidak;Kingler terkenal karena capitnya yang sangat besar dan mampu menghancurkan batu dengan mudah.;;;4;Krabby;-1;1040;950;099;;
099_1;Gigantamax Kingler;130;115;Kingler;Gigantamax;2;Water;Fire, Rock, Ground;Water, Ice, Fire;Tidak;Gigantamax Kingler memiliki capit yang begitu besar dan kuat, bisa menghancurkan kapal dengan sekali serang.;;M/G;6;Kingler;2;1660;1360;099_1;099;v
816;Sobble;40;40;-;1;3;Water;Fire, Ground, Rock;Water, Ice, Fire;Tidak;Sobble adalah Pokemon yang pemalu dan sering bersembunyi, namun memiliki kemampuan kamuflase yang baik.;;;1;-;-4;230;230;816;;
817;Drizzile;65;60;Sobble;2;3;Water;Fire, Ground, Rock;Water, Ice, Fire;Tidak;Drizzile menjadi lebih strategis dalam bertarung, menggunakan air untuk menyerang dari jarak jauh.;;;3;Sobble;-2;750;730;817;;
818;Inteleon;85;75;Drizzile;3;3;Water;Fire, Ground, Rock;Water, Ice, Fire;Tidak;Inteleon adalah penembak jitu yang cerdas, menyerang lawan dengan presisi tinggi menggunakan air.;;;5;Drizzile;0;1330;1170;818;;
818_1;Gigantamax Inteleon;85;75;Inteleon;Gigantamax;3;Water;Fire, Ground, Rock;Water, Ice, Fire;Tidak;Gigantamax Inteleon menyerang dari menara air yang tinggi, mengincar musuh dengan Sniper Shot yang akurat.;;M/G;7;Inteleon;3;1970;1560;818_1;818;v
813;Scorbunny;71;40;-;1;3;Fire;Grass, Bug, Ice;Fire, Grass, Ice;Tidak;Scorbunny penuh energi dan menggunakan kecepatan tinggi untuk menyerang dengan tendangan yang kuat.;;;1;-;-4;290;170;813;;
814;Raboot;86;60;Scorbunny;2;3;Fire;Grass, Bug, Ice;Fire, Grass, Ice;Tidak;Raboot lebih terampil dalam bertarung, menggunakan teknik tendangan untuk menyerang lawan dari jarak dekat.;;;3;Scorbunny;-2;850;630;814;;
815;Cinderace;116;75;Raboot;3;3;Fire;Grass, Bug, Ice;Fire, Grass, Ice;Tidak;Cinderace adalah striker ulung yang mengubah bola api menjadi serangan berdaya ledak.;;;5;Raboot;0;1520;980;815;;
815_1;Gigantamax Cinderace;116;75;Cinderace;Gigantamax;3;Fire;Grass, Bug, Ice;Fire, Grass, Ice;Tidak;Gigantamax Cinderace menyerang dengan bola api raksasa yang bisa menghancurkan apa saja dengan tendangan kuatnya.;;M/G;7;Cinderace;3;2250;1280;815_1;815;v
810;Grookey;65;50;-;1;3;Grass;Water, Ground, Rock;Grass, Water, Electric;Tidak;Grookey menggunakan ranting kecilnya untuk menyerang dan memperbaiki tanaman yang rusak.;;;1;-;-4;260;200;810;;
811;Thwackey;85;70;Grookey;2;3;Grass;Water, Ground, Rock;Grass, Water, Electric;Tidak;Thwackey menggunakan dua batang ranting untuk menyerang dan menghasilkan ritme yang memicu kekuatan serangan.;;;3;Grookey;-2;790;690;811;;
812;Rillaboom;125;90;Thwackey;3;3;Grass;Water, Ground, Rock;Grass, Water, Electric;Tidak;Rillaboom memanfaatkan drum besarnya untuk mengirimkan gelombang suara yang menghancurkan.;;;5;Thwackey;0;1450;1050;812;;
812_1;Gigantamax Rillaboom;125;90;Rillaboom;Gigantamax;3;Grass;Water, Ground, Rock;Grass, Water, Electric;Tidak;Gigantamax Rillaboom menggunakan drum raksasa yang mengeluarkan suara mematikan di medan tempur.;;M/G;7;Rillaboom;3;2160;1370;812_1;812;v
333;Swablu;40;60;-;1;2;Normal, Flying;Grass, Bug, Fighting;Ground, Grass, Bug;Tidak;Swablu suka bersih-bersih dan sering duduk di bahu orang, terlihat seperti awan kecil.;;;2;-;-2;380;600;333;;
334;Altaria;70;90;Swablu;2;2;Dragon, Flying;Fire, Water, Electric;Grass, Bug, Fighting;Tidak;Altaria dikenal karena menyanyi dengan suara merdu dan menggunakan sayapnya untuk menari di langit.;;;4;Swablu;0;880;1120;334;;
334_1;Mega Altaria;110;110;Altaria;Mega;2;Dragon, Fairy;Dark, Fighting, Dragon;Fighting, Bug, Dark;Tidak;Mega Altaria bertransformasi menjadi lebih kuat, dengan kekuatan serangan naga dan peri yang luar biasa.;;M/G;6;Altaria;3;1590;1440;334_1;334;v
475_1;Mega Gallade;165;95;Gallade;Mega;3;Psychic, Fighting;Dark, Fighting, Psychic;Psychic, Fighting, Fairy;Tidak;Mega Gallade memiliki kekuatan serangan luar biasa dan mempertahankan semangat kepahlawanannya dengan serangan pedangnya yang presisi.;;M/G;7;Gallade;4;2400;1140;475_1;475;v
824;Blipbug;25;20;-;1;3;Bug;Grass, Psychic, Dark;Grass, Bug;Tidak;Blipbug sangat cerdas meskipun terlihat lemah, dan tertarik mempelajari lingkungan sekitarnya dengan sangat fokus.;;;1;-;-3;260;210;824;;
825;Dottler;35;50;Blipbug;2;3;Bug, Psychic;Grass, Fighting, Poison;Grass, Fighting, Psychic;Tidak;Dottler menggunakan cangkangnya yang keras untuk melindungi dirinya saat berkonsentrasi mengumpulkan energi psikis.;;;3;Blipbug;-1;610;880;825;;
826;Orbeetle;70;80;Dottler;3;3;Bug, Psychic;Fighting, Psychic, Poison;Grass, Fighting, Poison;Tidak;Orbeetle dikenal memiliki kecerdasan tingkat tinggi, dan bisa menggunakan energi psikis untuk mengendalikan objek di sekitarnya.;;;5;Dottler;1;1190;1320;826;;
826_1;Gigantamax Orbeetle;70;80;Orbeetle;Gigantamax;3;Bug, Psychic;Fighting, Psychic, Poison;Grass, Fighting, Poison;Tidak;Gigantamax Orbeetle memperluas kemampuan psikisnya, mengendalikan area yang sangat luas dengan sinyal energinya.;;M/G;7;Orbeetle;4;1760;1780;826_1;826;v
384;Rayquaza;150;90;-;1;1;Dragon, Flying;Grass, Bug, Fighting;Ground, Bug, Grass;Ya;Rayquaza adalah penjaga langit yang sangat kuat, mengendalikan atmosfer dan menjaga keseimbangan antara Kyogre dan Groudon.;;;6;-;2;1950;1070;384;;
384_1;Mega Rayquaza;180;100;Rayquaza;Mega;1;Dragon, Flying;Grass, Bug, Fighting;Ground, Bug, Grass;Ya;Mega Rayquaza memiliki kekuatan yang tak tertandingi, menghancurkan musuhnya dengan kekuatan dahsyat dari langit.;;M/G;8;Rayquaza;5;2830;1220;384_1;384;v
213;Shuckle;10;20;-;1;1;Bug, Rock;Psychic, Flying;Normal, Grass, Poison;Tidak;Shuckle dikenal sebagai Pokemon yang sangat kuat dalam pertahanan, namun memiliki serangan yang sangat rendah.;;;4;-;1;680;1330;213;;
